TK,LOCALITY,bandavedailycbu,totaconsumption,totaldays,average_daily_consumption,totalparoxes,YYYYMM
10445,ΘΥΜΑΡΑΚΙΑ,Κλάση Γ,6973,11402,0.6,368,Jan-23
10445,ΘΥΜΑΡΑΚΙΑ,Κλάση Δ,1449,806,1.8,26,Jan-23
10445,ΘΥΜΑΡΑΚΙΑ,Κλάση Ε,943,124,7.6,4,Jan-23
10445,ΚΑΤΩ ΠΑΤΗΣΙΑ,Κλάση A,1688,63520,0.0,2050,Jan-23
10445,ΚΑΤΩ ΠΑΤΗΣΙΑ,Κλάση Β,20376,81254,0.3,2622,Jan-23
10445,ΚΑΤΩ ΠΑΤΗΣΙΑ,Κλάση Γ,4803,7997,0.6,258,Jan-23
10445,ΚΑΤΩ ΠΑΤΗΣΙΑ,Κλάση Δ,1263,648,2.0,21,Jan-23
10445,ΚΑΤΩ ΠΑΤΗΣΙΑ,Κλάση Ε,1077,93,11.6,3,Jan-23
10445,ΚΟΛΩΝΟΣ,Κλάση A,162,6107,0.0,197,Jan-23
10445,ΚΟΛΩΝΟΣ,Κλάση Β,1668,6882,0.2,222,Jan-23
10445,ΚΟΛΩΝΟΣ,Κλάση Γ,338,558,0.6,18,Jan-23
10445,ΚΟΛΩΝΟΣ,Κλάση Δ,155,124,1.3,4,Jan-23
10445,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση A,61,2046,0.0,66,Jan-23
10445,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Β,583,2511,0.2,81,Jan-23
10445,ΛΟΦΟΣ ΣΚΟΥΖΕ,Κλάση Γ,108,186,0.6,6,Jan-23
10445,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση A,814,30753,0.0,993,Jan-23
10445,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Β,7877,33191,0.2,1071,Jan-23
10445,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Γ,2239,3441,0.7,111,Jan-23
10445,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,Κλάση Δ,1374,682,2.0,22,Jan-23
10445,ΣΕΠΟΛΙΑ,Κλάση A,101,3981,0.0,130,Jan-23
10445,ΣΕΠΟΛΙΑ,Κλάση Β,1230,5022,0.2,162,Jan-23
10445,ΣΕΠΟΛΙΑ,Κλάση Γ,332,564,0.6,19,Jan-23
10445,ΤΡΕΙΣ ΓΕΦΥΡΕΣ,Κλάση A,524,17237,0.0,560,Jan-23
10445,ΤΡΕΙΣ ΓΕΦΥΡΕΣ,Κλάση Β,7726,29946,0.3,966,Jan-23
10445,ΤΡΕΙΣ ΓΕΦΥΡΕΣ,Κλάση Γ,2534,4131,0.6,134,Jan-23
10445,ΤΡΕΙΣ ΓΕΦΥΡΕΣ,Κλάση Δ,743,488,1.5,16,Jan-23
10446,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση A,1921,80272,0.0,2595,Jan-23
10446,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση Β,20357,82091,0.3,2650,Jan-23
10446,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση Γ,5092,8340,0.6,271,Jan-23
10446,ΑΓ. ΜΕΛΕΤΙΟΥ,Κλάση Δ,1353,932,1.5,31,Jan-23
10446,ΑΓ. ΝΙΚΟΛΑΟΣ,Κλάση A,580,21679,0.0,701,Jan-23
